timestamp,MW,kV,,
08-12-14 10:00,6.03,10.53,,
08-12-14 11:00,1.22,10.5,,
08-12-14 12:00,2.04,10.55,,
08-12-14 13:00,2.6,10.53,,
08-12-14 14:00,2.02,10.57,,
08-12-14 15:00,2.37,10.64,,
08-12-14 16:00,4.19,10.66,,
08-12-14 17:00,5.08,10.6,,
08-12-14 18:00,5.5,10.55,,
08-12-14 19:00,4.59,10.57,,
08-12-14 20:00,4.63,10.54,,
08-12-14 21:00,6.96,10.56,,
08-12-14 22:00,6.08,10.57,,
08-12-14 23:00,5.97,10.49,,
09-12-14 0:00,5.31,10.44,,
09-12-14 1:00,5.08,10.43,,
09-12-14 2:00,2.84,10.39,,
09-12-14 3:00,2.23,10.37,,
09-12-14 4:00,2.26,10.35,,
09-12-14 5:00,3.56,10.48,,
09-12-14 6:00,5.02,10.52,,
09-12-14 7:00,2.92,10.49,,
09-12-14 8:00,1.12,10.51,,
09-12-14 9:00,3.03,10.58,,
09-12-14 10:00,2.06,10.53,,
09-12-14 11:00,2.47,10.5,,
09-12-14 12:00,2.69,10.53,,
09-12-14 13:00,4.1,10.49,,
09-12-14 14:00,5.55,10.51,,
09-12-14 15:00,8.07,10.57,,
09-12-14 16:00,9.49,10.56,,
09-12-14 17:00,11.33,10.55,,
09-12-14 18:00,12.15,10.5,,
09-12-14 19:00,12.58,10.41,,
09-12-14 20:00,12.65,10.47,,
09-12-14 21:00,12.87,10.4,,
09-12-14 22:00,14.15,10.44,,
09-12-14 23:00,14.97,10.56,,
10-12-14 0:00,14.95,10.61,,
10-12-14 1:00,14.09,10.62,,
10-12-14 2:00,14.14,10.63,,
10-12-14 3:00,14.96,10.65,,
10-12-14 4:00,14.98,10.56,,
10-12-14 5:00,13.49,10.49,,
10-12-14 6:00,5.71,10.54,,
10-12-14 7:00,6.94,10.45,,
10-12-14 8:00,10.54,10.47,,
10-12-14 9:00,10.27,10.53,,
10-12-14 10:00,10.39,10.5,,
10-12-14 11:00,12.26,10.57,,
10-12-14 12:00,9.38,10.49,,
10-12-14 13:00,12.17,10.51,,
10-12-14 14:00,11.01,10.54,,
10-12-14 15:00,11.38,10.53,,
10-12-14 16:00,11.59,10.45,,
10-12-14 17:00,12.19,10.45,,
10-12-14 18:00,12.84,10.54,,
10-12-14 19:00,12.69,10.53,,
10-12-14 20:00,13.27,10.48,,
10-12-14 21:00,10.53,10.59,,
10-12-14 22:00,12.71,10.53,,
10-12-14 23:00,11.95,10.5,,
11-12-14 0:00,10.49,10.53,,
11-12-14 1:00,10.37,10.44,,
11-12-14 2:00,12.38,10.59,,
11-12-14 3:00,7.86,10.61,,
11-12-14 4:00,7.4,10.44,,
11-12-14 5:00,9.42,10.41,,
11-12-14 6:00,9.83,10.54,,
11-12-14 7:00,2.5,10.46,,
11-12-14 8:00,7.54,10.43,,
11-12-14 9:00,9.13,10.49,,
11-12-14 10:00,9.71,10.44,,
11-12-14 11:00,7.2,10.43,,
11-12-14 12:00,8.37,10.48,,
11-12-14 13:00,8.79,10.48,,
11-12-14 14:00,6.15,10.5,,
11-12-14 15:00,4.84,10.53,,
11-12-14 16:00,8.06,10.54,,
11-12-14 17:00,2.88,10.57,,
11-12-14 18:00,9.89,10.59,,
11-12-14 19:00,5.74,10.47,,
11-12-14 20:00,7.03,10.38,,
11-12-14 21:00,5.2,10.37,,
11-12-14 22:00,5.34,10.4,,
11-12-14 23:00,4.75,10.47,,
12-12-14 0:00,3.28,10.48,,
12-12-14 1:00,1.07,10.49,,
12-12-14 2:00,2.68,10.49,,
12-12-14 3:00,5.45,10.5,,
12-12-14 4:00,3.33,10.52,,
12-12-14 5:00,2.02,10.51,,
12-12-14 6:00,2.86,10.39,,
12-12-14 7:00,7.46,10.47,,
12-12-14 8:00,1.68,10.52,,
12-12-14 9:00,2.47,10.59,,
12-12-14 10:00,3.74,10.54,,
12-12-14 11:00,0.73,10.57,,
12-12-14 12:00,0.49,10.64,,
12-12-14 13:00,1.45,10.5,,
12-12-14 14:00,2.55,10.54,,
12-12-14 15:00,2.68,10.54,,
12-12-14 16:00,3.79,10.49,,
12-12-14 17:00,4.68,10.48,,
12-12-14 18:00,4.24,10.52,,
12-12-14 19:00,2.98,10.38,,
12-12-14 20:00,2,10.41,,
12-12-14 21:00,6.18,10.53,,
12-12-14 22:00,1.5,10.54,,
12-12-14 23:00,10.07,10.56,,
13-12-14 0:00,8.81,10.54,,
13-12-14 1:00,7.39,10.54,,
13-12-14 2:00,12.25,10.6,,
13-12-14 3:00,12.66,10.53,,
13-12-14 4:00,12.74,10.54,,
13-12-14 5:00,12.62,10.52,,
13-12-14 6:00,12.2,10.61,,
13-12-14 7:00,11.67,10.62,,
13-12-14 8:00,9.21,10.5,,
13-12-14 9:00,10.06,10.48,,
13-12-14 10:00,11.94,10.45,,
13-12-14 11:00,10.28,10.51,,
13-12-14 12:00,11.37,10.49,,
13-12-14 13:00,12.55,10.43,,
13-12-14 14:00,10.94,10.46,,
13-12-14 15:00,9.3,10.46,,
13-12-14 16:00,9.2,10.4,,
13-12-14 17:00,5.44,10.4,,
13-12-14 18:00,9.32,10.4,,
13-12-14 19:00,7.72,10.46,,
13-12-14 20:00,3.87,10.47,,
13-12-14 21:00,1.5,10.46,,
13-12-14 22:00,2.91,10.5,,
13-12-14 23:00,7.03,10.51,,
14-12-14 0:00,6.25,10.49,,
14-12-14 1:00,4.72,10.46,,
14-12-14 2:00,4.28,10.45,,
14-12-14 3:00,7.19,10.43,,
14-12-14 4:00,7.72,10.45,,
14-12-14 5:00,9.33,10.45,,
14-12-14 6:00,5.49,10.41,,
14-12-14 7:00,5.54,10.38,,
14-12-14 8:00,7.43,10.37,,
14-12-14 9:00,10.43,10.48,,
14-12-14 10:00,11.15,10.54,,
14-12-14 11:00,11.09,10.51,,
14-12-14 12:00,12.29,10.47,,
14-12-14 13:00,11.69,10.47,,
14-12-14 14:00,10.45,10.47,,
14-12-14 15:00,12.02,10.49,,
14-12-14 16:00,12.52,10.43,,
14-12-14 17:00,12.72,10.51,,
14-12-14 18:00,12.63,10.56,,
14-12-14 19:00,12.63,10.59,,
14-12-14 20:00,11.3,10.59,,
14-12-14 21:00,9.89,10.55,,
14-12-14 22:00,10.88,10.54,,
14-12-14 23:00,10.35,10.58,,
15-12-14 0:00,9.92,10.62,,
15-12-14 1:00,9.95,10.62,,
15-12-14 2:00,9.89,10.63,,
15-12-14 3:00,6.65,10.56,,
15-12-14 4:00,3.09,10.56,,
15-12-14 5:00,3.79,10.57,,
15-12-14 6:00,5.94,10.49,,
15-12-14 7:00,3.9,10.48,,
15-12-14 8:00,6.05,10.52,,
15-12-14 9:00,3.86,10.58,,
15-12-14 10:00,5.64,10.55,,
15-12-14 11:00,7.19,10.57,,
15-12-14 12:00,4.94,10.6,,
15-12-14 13:00,8.38,10.53,,
15-12-14 14:00,7.18,10.6,,
15-12-14 15:00,10.72,10.62,,
15-12-14 16:00,11.93,10.57,,
15-12-14 17:00,10.95,10.57,,
15-12-14 18:00,11.28,10.59,,
15-12-14 19:00,7.42,10.48,,
15-12-14 20:00,8.17,10.45,,
15-12-14 21:00,2.78,10.35,,
15-12-14 22:00,0.37,10.36,,
15-12-14 23:00,1.92,10.4,,
16-12-14 0:00,2.93,10.43,,
16-12-14 1:00,3.61,10.46,,
16-12-14 2:00,4.89,10.42,,
16-12-14 3:00,8.31,10.37,,
16-12-14 4:00,11.44,10.47,,
16-12-14 5:00,12.47,10.48,,
16-12-14 6:00,12.2,10.44,,
16-12-14 7:00,9.75,10.58,,
16-12-14 8:00,7.47,10.57,,
16-12-14 9:00,2.59,10.38,,
16-12-14 10:00,3.02,10.36,,
16-12-14 11:00,2.39,10.38,,
16-12-14 12:00,2.63,10.41,,
16-12-14 13:00,5.05,10.38,,
16-12-14 14:00,6.49,10.39,,
16-12-14 15:00,6.66,10.4,,
16-12-14 16:00,10.13,10.36,,
16-12-14 17:00,6.91,10.59,,
16-12-14 18:00,8.32,10.54,,
16-12-14 19:00,8.26,10.43,,
16-12-14 20:00,11.48,10.54,,
16-12-14 21:00,10.88,10.62,,
16-12-14 22:00,9.7,10.59,,
16-12-14 23:00,10.83,10.44,,
17-12-14 0:00,11.27,10.47,,
17-12-14 1:00,12.26,10.45,,
17-12-14 2:00,8.66,10.48,,
17-12-14 3:00,6.65,10.42,,
17-12-14 4:00,8.76,10.43,,
17-12-14 5:00,4.54,10.42,,
17-12-14 6:00,5.52,10.43,,
17-12-14 7:00,3.57,10.52,,
17-12-14 8:00,2.12,10.57,,
17-12-14 9:00,3.42,10.63,,
17-12-14 10:00,1.19,10.56,,
17-12-14 11:00,1.59,10.58,,
17-12-14 12:00,4.1,10.62,,
17-12-14 13:00,2.48,10.58,,
17-12-14 14:00,3.52,10.61,,
17-12-14 15:00,3.59,10.65,,
17-12-14 16:00,3.95,10.56,,
17-12-14 17:00,1.82,10.51,,
17-12-14 18:00,2.54,10.53,,
17-12-14 19:00,3.47,10.5,,
17-12-14 20:00,3.48,10.42,,
17-12-14 21:00,3.46,10.4,,
17-12-14 22:00,5.2,10.41,,
17-12-14 23:00,5.28,10.43,,
18-12-14 0:00,4.62,10.45,,
18-12-14 1:00,3.36,10.46,,
18-12-14 2:00,4.12,10.4,,
18-12-14 3:00,5.83,10.38,,
18-12-14 4:00,8.45,10.52,,
18-12-14 5:00,8.74,10.54,,
18-12-14 6:00,4.86,10.48,,
18-12-14 7:00,9.02,10.46,,
18-12-14 8:00,9.13,10.42,,
18-12-14 9:00,9.06,10.54,,
18-12-14 10:00,8.48,10.53,,
18-12-14 11:00,10,10.54,,
18-12-14 12:00,9.45,10.58,,
18-12-14 13:00,6.42,10.58,,
18-12-14 14:00,5.09,10.62,,
18-12-14 15:00,6.05,10.64,,
18-12-14 16:00,5.79,10.66,,
18-12-14 17:00,4.54,10.63,,
18-12-14 18:00,4.04,10.64,,
18-12-14 19:00,9.22,10.6,,
18-12-14 20:00,12.63,10.45,,
18-12-14 21:00,12.71,10.42,,
18-12-14 22:00,12.49,10.56,,
18-12-14 23:00,9.93,10.58,,
19-12-14 0:00,9.65,10.54,,
19-12-14 1:00,11.24,10.6,,
19-12-14 2:00,9.54,10.59,,
19-12-14 3:00,9.96,10.59,,
19-12-14 4:00,9.25,10.54,,
19-12-14 5:00,9.04,10.5,,
19-12-14 6:00,10.26,10.52,,
19-12-14 7:00,8.29,10.53,,
