Node,NVolt_kV,mw,mvar,bus_type,slp
3035,0.4,0.2041,0.050119922124871125,2.0,G3-H
3036,0.4,0.1678666666666667,0.04122226487356705,1.0,G3-A
3037,0.4,0.1678666666666667,0.04122226487356705,2.0,G3-A
3038,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3039,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3040,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3041,0.4,0.2116,0.051961663506235815,1.0,G3-M
3042,0.4,0.2116,0.051961663506235815,2.0,G3-M
3043,0.4,0.1678666666666667,0.04122226487356705,2.0,G3-A
3044,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3045,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3046,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3047,0.4,0.16576666666666667,0.040706577286784916,2.0,L0-A
3048,0.4,0.1671,0.04103399797680531,1.0,L2-A
3049,0.4,0.14033333333333334,0.034461027624645986,1.0,H0-L
3050,0.4,0.0881,0.02163432209309724,2.0,H0-A
3051,0.4,0.12874000000000002,0.03161410472491871,1.0,H0-C
3059,0.4,0.12874000000000002,0.03161410472491871,1.0,H0-C
3060,0.4,0.12874000000000002,0.03161410472491871,1.0,H0-C
3061,0.4,0.0881,0.02163432209309724,2.0,H0-A
3058,0.4,0.1671,0.04103399797680531,2.0,L2-A
3053,0.4,0.2116,0.051961663506235815,2.0,G3-M
3055,0.4,0.0881,0.02163432209309724,2.0,H0-A
3062,0.4,0.0881,0.02163432209309724,2.0,H0-A
3052,0.4,0.12874000000000002,0.03161410472491871,2.0,H0-C
3054,0.4,0.14033333333333334,0.034461027624645986,1.0,H0-L
3057,0.4,0.12874000000000002,0.03161410472491871,1.0,H0-C
3056,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3063,0.4,0.14033333333333334,0.034461027624645986,2.0,H0-L
3067,10.0,1.0,1.0,2.0,residual
3065,0.4,0.16576666666666667,0.040706577286784916,1.0,L0-A
3066,0.4,0.0881,0.02163432209309724,2.0,H0-A
3064,0.4,0.0881,0.02163432209309724,2.0,H0-A
