Node,NVolt_kV,mw,gen_type
5168.0,0.4,0.01,PV
5113.0,0.4,0.01,PV
5107.0,0.4,0.01,PV
5114.0,0.4,0.01,PV
5111.0,0.4,0.01,PV
5035.0,0.4,0.01,PV
5049.0,0.4,0.01,PV
5010.0,0.4,0.01,PV
5012.0,0.4,0.01,PV
5248.0,0.4,0.01,PV
5300.0,0.4,0.01,PV
5347.0,0.4,0.01,PV
5349.0,0.4,0.01,PV
5356.0,0.4,0.01,PV
5359.0,0.4,0.01,PV
5387.0,0.4,0.01,PV
5390.0,0.4,0.01,PV
5365.0,0.4,0.01,PV
5360.0,0.4,0.01,PV
5402.0,0.4,0.01,PV
5405.0,0.4,0.01,PV
5432.0,0.4,0.01,PV
5433.0,0.4,0.01,PV
5403.0,0.4,0.01,PV
5418.0,0.4,0.01,PV
5419.0,0.4,0.01,PV
5409.0,0.4,0.01,PV
5420.0,0.4,0.01,PV
5428.0,0.4,0.06,PV
5431.0,0.4,0.01,PV
5395.0,0.4,0.01,PV
5416.0,0.4,0.01,PV
5454.0,0.4,0.06,PV
5557.0,0.4,0.01,PV
5533.0,0.4,0.01,PV
5540.0,0.4,0.01,PV
5532.0,0.4,0.01,PV
5559.0,0.4,0.01,PV
5560.0,0.4,0.01,PV
5565.0,0.4,0.01,PV
5547.0,0.4,0.01,PV
5604.0,0.4,0.01,PV
5622.0,0.4,0.01,PV
5626.0,0.4,0.01,PV
5620.0,0.4,0.01,PV
5075.0,0.4,0.01,PV
5076.0,0.4,0.01,PV
5077.0,0.4,0.01,PV
5078.0,0.4,0.01,PV
5069.0,0.4,0.01,PV
5628.0,10.0,0.006400000000000072,PV
5629.0,10.0,0.3145,WPP1
