Node,NVolt_kV,mw,gen_type
6251.0,0.4,0.010833333333333334,PV
6255.0,0.4,0.010833333333333334,PV
6257.0,0.4,0.010833333333333334,PV
6237.0,0.4,0.010833333333333334,PV
6253.0,0.4,0.01,PV
6244.0,0.4,0.005,PV
6236.0,0.4,0.005,PV
6266.0,0.4,0.01,PV
6271.0,0.4,0.005,PV
6269.0,0.4,0.005,PV
6264.0,0.4,0.005,PV
6262.0,0.4,0.005,PV
6267.0,0.4,0.005,PV
6273.0,0.4,0.01,PV
6274.0,0.4,0.01,PV
6270.0,0.4,0.01,PV
6275.0,0.4,0.01,PV
6523.0,0.4,0.005,PV
6506.0,0.4,0.005,PV
6534.0,0.4,0.02,PV
6537.0,0.4,0.005,PV
6538.0,0.4,0.005,PV
6233.0,0.4,0.02,PV
6224.0,0.4,0.005,PV
6216.0,0.4,0.005,PV
6228.0,0.4,0.005,PV
6217.0,0.4,0.005,PV
6220.0,0.4,0.005,PV
6219.0,0.4,0.005,PV
6214.0,0.4,0.005,PV
6226.0,0.4,0.01,PV
6231.0,0.4,0.005,PV
6222.0,0.4,0.005,PV
6104.0,0.4,0.01,PV
6105.0,0.4,0.005,PV
6291.0,0.4,0.005,PV
6292.0,0.4,0.005,PV
6293.0,0.4,0.005,PV
6280.0,0.4,0.005,PV
6294.0,0.4,0.005,PV
6289.0,0.4,0.005,PV
6296.0,0.4,0.005,PV
6313.0,0.4,0.02,PV
6358.0,0.4,0.01,PV
6360.0,0.4,0.01,PV
6361.0,0.4,0.01,PV
6363.0,0.4,0.01,PV
6352.0,0.4,0.01,PV
6348.0,0.4,0.01,PV
6364.0,0.4,0.01,PV
6339.0,0.4,0.01,PV
6366.0,0.4,0.01,PV
6367.0,0.4,0.01,PV
6347.0,0.4,0.01,PV
6325.0,0.4,0.01,PV
6327.0,0.4,0.05333333333333334,PV
6334.0,0.4,0.05333333333333334,PV
6335.0,0.4,0.05333333333333334,PV
6350.0,0.4,0.05333333333333334,PV
6351.0,0.4,0.01,PV
6324.0,0.4,0.01,PV
6333.0,0.4,0.01,PV
6338.0,0.4,0.01,PV
6346.0,0.4,0.01,PV
6336.0,0.4,0.01,PV
6345.0,0.4,0.01,PV
6329.0,0.4,0.01,PV
6341.0,0.4,0.01,PV
6349.0,0.4,0.01,PV
6342.0,0.4,0.01,PV
6328.0,0.4,0.01,PV
6389.0,0.4,0.010833333333333334,PV
6396.0,0.4,0.010833333333333334,PV
6388.0,0.4,0.010833333333333334,PV
6409.0,0.4,0.010833333333333334,PV
6382.0,0.4,0.005,PV
6394.0,0.4,0.005,PV
6390.0,0.4,0.005,PV
6384.0,0.4,0.005,PV
6405.0,0.4,0.005,PV
6406.0,0.4,0.005,PV
6372.0,0.4,0.005,PV
6456.0,0.4,0.005,PV
6444.0,0.4,0.005,PV
6457.0,0.4,0.005,PV
6423.0,0.4,0.005,PV
6425.0,0.4,0.005,PV
6458.0,0.4,0.005,PV
6424.0,0.4,0.005,PV
6420.0,0.4,0.005,PV
6421.0,0.4,0.005,PV
6415.0,0.4,0.005,PV
6419.0,0.4,0.005,PV
6429.0,0.4,0.005,PV
6431.0,0.4,0.005,PV
6438.0,0.4,0.005,PV
6445.0,0.4,0.005,PV
6414.0,0.4,0.005,PV
6446.0,0.4,0.005,PV
6416.0,0.4,0.005,PV
6433.0,0.4,0.005,PV
6435.0,0.4,0.005,PV
6437.0,0.4,0.005,PV
6432.0,0.4,0.005,PV
6439.0,0.4,0.005,PV
6447.0,0.4,0.005,PV
6448.0,0.4,0.005,PV
6427.0,0.4,0.005,PV
6440.0,0.4,0.005,PV
6449.0,0.4,0.005,PV
6452.0,0.4,0.005,PV
6422.0,0.4,0.005,PV
6443.0,0.4,0.005,PV
6491.0,0.4,0.006999999999999999,PV
6493.0,0.4,0.006999999999999999,PV
6466.0,0.4,0.006999999999999999,PV
6500.0,0.4,0.008,PV
6474.0,0.4,0.005,PV
6469.0,0.4,0.01,PV
6459.0,0.4,0.01,PV
6499.0,0.4,0.005,PV
6471.0,0.4,0.008,PV
6503.0,0.4,0.01,PV
6462.0,0.4,0.005,PV
6470.0,0.4,0.005,PV
6460.0,0.4,0.005,PV
6478.0,0.4,0.01,PV
6484.0,0.4,0.005,PV
6486.0,0.4,0.01,PV
6489.0,0.4,0.01,PV
6492.0,0.4,0.01,PV
6496.0,0.4,0.005,PV
6479.0,0.4,0.005,PV
6461.0,0.4,0.005,PV
6482.0,0.4,0.005,PV
6485.0,0.4,0.005,PV
6468.0,0.4,0.005,PV
6467.0,0.4,0.005,PV
6167.0,0.4,0.005,PV
6164.0,0.4,0.02,PV
6154.0,0.4,0.02,PV
6155.0,0.4,0.02,PV
6160.0,0.4,0.005,PV
6161.0,0.4,0.005,PV
6117.0,0.4,0.010833333333333334,PV
6175.0,0.4,0.005,PV
6181.0,0.4,0.010833333333333334,PV
6180.0,0.4,0.05333333333333334,PV
6170.0,0.4,0.05333333333333334,PV
6197.0,0.4,0.01,PV
6199.0,0.4,0.01,PV
6208.0,0.4,0.01,PV
6200.0,0.4,0.02,PV
6212.0,0.4,0.02,PV
6142.0,0.4,0.005,PV
6126.0,0.4,0.01,PV
6129.0,0.4,0.005,PV
6135.0,0.4,0.005,PV
6138.0,0.4,0.005,PV
6133.0,0.4,0.01,PV
6127.0,0.4,0.005,PV
6131.0,0.4,0.005,PV
