Node,NVolt_kV,mw,mvar,bus_type,slp
2711,0.4,0.017121739,0.004204509,2,G3-H
2705,0.4,0.007334653,0.001801138,2,H0-A
2708,0.4,0.0114,0.002799447,1,L0-A
2690,0.4,0.0114,0.002799447,1,L0-A
2697,0.4,0.007334653,0.001801138,1,H0-A
2701,0.4,0.0114,0.002799447,1,L0-A
2691,0.4,0.007334653,0.001801138,1,H0-A
2696,0.4,0.0114,0.002799447,1,L0-A
2698,0.4,0.0114,0.002799447,1,L0-A
2703,0.4,0.013728571,0.003371264,2,G3-A
2704,0.4,0.013728571,0.003371264,2,G3-A
2693,0.4,0.013728571,0.003371264,2,G3-A
2694,0.4,0.0114,0.002799447,1,L0-A
2706,0.4,0.013728571,0.003371264,2,G3-A
2709,0.4,0.007334653,0.001801138,1,H0-A
2702,0.4,0.007334653,0.001801138,1,H0-A
2707,0.4,0.013728571,0.003371264,2,G3-A
2700,0.4,0.007334653,0.001801138,1,H0-A
2710,0.4,0.007334653,0.001801138,1,H0-A
2692,0.4,0.016069231,0.003946049,2,G3-M
2699,0.4,0.016069231,0.003946049,2,G3-M
2695,0.4,0.016069231,0.003946049,2,G3-M
2732,0.4,0.016069231,0.003946049,2,G3-M
2719,0.4,0.016069231,0.003946049,2,G3-M
2718,0.4,0.016069231,0.003946049,2,G3-M
2716,0.4,0.010230769,0.002512324,1,L2-A
2722,0.4,0.010543478,0.002589115,1,H0-B
2720,0.4,0.0114,0.002799447,1,L0-A
2721,0.4,0.0114,0.002799447,1,L0-A
2713,0.4,0.010230769,0.002512324,1,L2-A
2723,0.4,0.010230769,0.002512324,1,L2-A
2724,0.4,0.010230769,0.002512324,1,L2-A
2726,0.4,0.010230769,0.002512324,1,L2-A
2712,0.4,0.0114,0.002799447,2,L0-A
2727,0.4,0.0114,0.002799447,1,L0-A
2728,0.4,0.0114,0.002799447,1,L0-A
2729,0.4,0.0114,0.002799447,1,L0-A
2730,0.4,0.0114,0.002799447,1,L0-A
2715,0.4,0.0114,0.002799447,1,L0-A
2731,0.4,0.0114,0.002799447,1,L0-A
2733,0.4,0.0114,0.002799447,1,L0-A
2717,0.4,0.010594118,0.00260155,1,H0-C
2725,0.4,0.010594118,0.00260155,1,H0-C
2714,0.4,0.0114,0.002799447,1,L0-A
2641,0.4,0.010594118,0.00260155,1,H0-C
2642,0.4,0.010594118,0.00260155,1,H0-C
2653,0.4,0.010594118,0.00260155,1,H0-C
2654,0.4,0.0114,0.002799447,1,L0-A
2655,0.4,0.0114,0.002799447,1,L0-A
2656,0.4,0.0114,0.002799447,1,L0-A
2659,0.4,0.010543478,0.002589115,1,H0-B
2664,0.4,0.0114,0.002799447,1,L0-A
2663,0.4,0.0114,0.002799447,1,L0-A
2666,0.4,0.010543478,0.002589115,1,H0-B
2662,0.4,0.007334653,0.001801138,1,H0-A
2657,0.4,0.007334653,0.001801138,1,H0-A
2660,0.4,0.007334653,0.001801138,1,H0-A
2658,0.4,0.010230769,0.002512324,1,L2-A
2661,0.4,0.016069231,0.003946049,1,G3-M
2665,0.4,0.016069231,0.003946049,1,G3-M
2667,0.4,0.0178625,0.004386414,2,BL-H
2669,0.4,0.017121739,0.004204509,1,G3-H
2675,0.4,0.017121739,0.004204509,2,G3-H
2678,0.4,0.017121739,0.004204509,1,G3-H
2684,0.4,0.017121739,0.004204509,2,G3-H
2668,0.4,0.016069231,0.003946049,1,G3-M
2673,0.4,0.017121739,0.004204509,2,G3-H
2677,0.4,0.017121739,0.004204509,1,G3-H
2680,0.4,0.007334653,0.001801138,1,H0-A
2682,0.4,0.007334653,0.001801138,1,H0-A
2683,0.4,0.017121739,0.004204509,2,G3-H
2685,0.4,0.016069231,0.003946049,2,G3-M
2686,0.4,0.007334653,0.001801138,1,H0-A
2670,0.4,0.017121739,0.004204509,2,G3-H
2671,0.4,0.017121739,0.004204509,2,G3-H
2687,0.4,0.016069231,0.003946049,1,G3-M
2672,0.4,0.017121739,0.004204509,1,G3-H
2688,0.4,0.007334653,0.001801138,1,H0-A
2689,0.4,0.007334653,0.001801138,1,H0-A
2674,0.4,0.007334653,0.001801138,2,H0-A
2679,0.4,0.016069231,0.003946049,2,G3-M
2676,0.4,0.016069231,0.003946049,2,G3-M
2681,0.4,0.016069231,0.003946049,2,G3-M
2643,0.4,0.007334653,0.001801138,2,H0-A
2644,0.4,0.016069231,0.003946049,2,G3-M
2645,0.4,0.016069231,0.003946049,2,G3-M
2646,0.4,0.017121739,0.004204509,2,G3-H
2647,0.4,0.0178625,0.004386414,2,BL-H
2640,0.4,0.0114,0.002799447,1,L0-A
2799,0.4,0.0114,0.002799447,1,L0-A
2783,0.4,0.017121739,0.004204509,1,G3-H
2786,0.4,0.010230769,0.002512324,1,L2-A
2792,0.4,0.0114,0.002799447,1,L0-A
2787,0.4,0.0114,0.002799447,1,L0-A
2788,0.4,0.017121739,0.004204509,1,G3-H
2793,0.4,0.0114,0.002799447,1,L0-A
2784,0.4,0.017121739,0.004204509,1,G3-H
2796,0.4,0.0114,0.002799447,1,L0-A
2798,0.4,0.017121739,0.004204509,2,G3-H
2780,0.4,0.0114,0.002799447,1,L0-A
2791,0.4,0.0178625,0.004386414,2,BL-H
2795,0.4,0.0114,0.002799447,1,L0-A
2797,0.4,0.0178625,0.004386414,2,BL-H
2778,0.4,0.010230769,0.002512324,1,L2-A
2779,0.4,0.0178625,0.004386414,2,BL-H
2781,0.4,0.0114,0.002799447,2,L0-A
2789,0.4,0.0114,0.002799447,1,L0-A
2785,0.4,0.017121739,0.004204509,2,G3-H
2790,0.4,0.017121739,0.004204509,1,G3-H
2794,0.4,0.0114,0.002799447,1,L0-A
2782,0.4,0.010230769,0.002512324,1,L2-A
2809,0.4,0.0114,0.002799447,1,L0-A
2804,0.4,0.0114,0.002799447,1,L0-A
2813,0.4,0.0114,0.002799447,1,L0-A
2815,0.4,0.0114,0.002799447,1,L0-A
2817,0.4,0.0114,0.002799447,1,L0-A
2820,0.4,0.017121739,0.004204509,1,G3-H
2807,0.4,0.0114,0.002799447,1,L0-A
2818,0.4,0.0178625,0.004386414,2,BL-H
2811,0.4,0.0114,0.002799447,1,L0-A
2814,0.4,0.0114,0.002799447,1,L0-A
2803,0.4,0.0114,0.002799447,1,L0-A
2805,0.4,0.016069231,0.003946049,2,G3-M
2808,0.4,0.0114,0.002799447,1,L0-A
2816,0.4,0.013728571,0.003371264,2,G3-A
2819,0.4,0.013728571,0.003371264,2,G3-A
2801,0.4,0.013728571,0.003371264,2,G3-A
2810,0.4,0.013728571,0.003371264,2,G3-A
2812,0.4,0.016069231,0.003946049,1,G3-M
2821,0.4,0.013728571,0.003371264,2,G3-A
2800,0.4,0.013728571,0.003371264,2,G3-A
2802,0.4,0.013728571,0.003371264,2,G3-A
2806,0.4,0.016069231,0.003946049,1,G3-M
2829,0.4,0.013728571,0.003371264,2,G3-A
2842,0.4,0.016069231,0.003946049,2,G3-M
2826,0.4,0.016069231,0.003946049,2,G3-M
