Node,NVolt_kV,mw,gen_type
1269.0,0.4,0.01,PV
1285.0,0.4,0.01,PV
1282.0,0.4,0.01,PV
1268.0,0.4,0.01,PV
1279.0,0.4,0.009000000000000001,PV
1266.0,0.4,0.01,PV
1299.0,0.4,0.01,PV
1304.0,0.4,0.01,PV
1305.0,0.4,0.01,PV
1307.0,0.4,0.02,PV
1308.0,0.4,0.01,PV
1290.0,0.4,0.02,PV
1329.0,0.4,0.01,PV
1312.0,0.4,0.01,PV
1324.0,0.4,0.01,PV
1337.0,0.4,0.01,PV
1317.0,0.4,0.01,PV
1370.0,0.4,0.01,PV
1358.0,0.4,0.01,PV
1356.0,0.4,0.01,PV
1363.0,0.4,0.01,PV
1375.0,0.4,0.01,PV
1210.0,0.4,0.01,PV
1204.0,0.4,0.01,PV
1201.0,0.4,0.01,PV
1203.0,0.4,0.01,PV
1214.0,0.4,0.01,PV
1222.0,0.4,0.01,PV
1224.0,0.4,0.01,PV
1231.0,0.4,0.01,PV
1241.0,0.4,0.01,PV
1248.0,0.4,0.02,PV
1255.0,0.4,0.009000000000000001,PV
1245.0,0.4,0.01,PV
1264.0,0.4,0.01,PV
1256.0,0.4,0.01,PV
1158.0,0.4,0.01,PV
1168.0,0.4,0.01,PV
1163.0,0.4,0.01,PV
1169.0,0.4,0.01,PV
1174.0,0.4,0.01,PV
1176.0,0.4,0.01,PV
1173.0,0.4,0.01,PV
1184.0,0.4,0.01,PV
1180.0,0.4,0.01,PV
1110.0,0.4,0.01,PV
1112.0,0.4,0.01,PV
1114.0,0.4,0.02,PV
1132.0,0.4,0.01,PV
1129.0,0.4,0.01,PV
1123.0,0.4,0.01,PV
1377.0,10.0,0.02069999999999994,PV
