Node,NVolt_kV,mw,gen_type
3597.0,0.4,0.004,PV
3832.0,0.4,0.005,PV
3810.0,0.4,0.005,PV
3823.0,0.4,0.005,PV
3821.0,0.4,0.005,PV
3815.0,0.4,0.005,PV
3808.0,0.4,0.005,PV
3824.0,0.4,0.005,PV
3839.0,0.4,0.005,PV
3888.0,0.4,0.005,PV
3889.0,0.4,0.005,PV
3890.0,0.4,0.006999999999999999,PV
3878.0,0.4,0.005,PV
3870.0,0.4,0.005,PV
3860.0,0.4,0.005,PV
3847.0,0.4,0.005,PV
3861.0,0.4,0.005,PV
3875.0,0.4,0.01,PV
3881.0,0.4,0.004,PV
3882.0,0.4,0.01,PV
3859.0,0.4,0.004,PV
3858.0,0.4,0.01,PV
3848.0,0.4,0.004,PV
3853.0,0.4,0.004,PV
3855.0,0.4,0.004,PV
3862.0,0.4,0.01,PV
3846.0,0.4,0.004,PV
3876.0,0.4,0.004,PV
3863.0,0.4,0.01,PV
3884.0,0.4,0.004,PV
3887.0,0.4,0.004,PV
3874.0,0.4,0.004,PV
3897.0,0.4,0.004,PV
3893.0,0.4,0.004,PV
3934.0,0.4,0.004,PV
3935.0,0.4,0.01,PV
3903.0,0.4,0.004,PV
3894.0,0.4,0.004,PV
3891.0,0.4,0.018000000000000002,PV
3919.0,0.4,0.01,PV
3921.0,0.4,0.004,PV
3902.0,0.4,0.004,PV
3923.0,0.4,0.01,PV
3895.0,0.4,0.004,PV
3904.0,0.4,0.004,PV
3905.0,0.4,0.004,PV
3907.0,0.4,0.01,PV
3925.0,0.4,0.02,PV
3901.0,0.4,0.004,PV
3927.0,0.4,0.004,PV
3928.0,0.4,0.01,PV
3924.0,0.4,0.004,PV
3932.0,0.4,0.01,PV
3916.0,0.4,0.005,PV
3918.0,0.4,0.005,PV
3937.0,0.4,0.01,PV
3953.0,0.4,0.01,PV
3950.0,0.4,0.01,PV
3947.0,0.4,0.01,PV
3951.0,0.4,0.01,PV
3957.0,0.4,0.01,PV
3959.0,0.4,0.01,PV
3946.0,0.4,0.01,PV
3948.0,0.4,0.01,PV
3965.0,0.4,0.02,PV
3966.0,0.4,0.01,PV
3939.0,0.4,0.01,PV
3952.0,0.4,0.01,PV
3968.0,0.4,0.01,PV
3945.0,0.4,0.01,PV
3941.0,0.4,0.01,PV
4009.0,0.4,0.005,PV
3987.0,0.4,0.005,PV
3988.0,0.4,0.005,PV
4020.0,0.4,0.004,PV
3998.0,0.4,0.004,PV
3995.0,0.4,0.004,PV
4012.0,0.4,0.004,PV
4016.0,0.4,0.004,PV
4021.0,0.4,0.004,PV
4001.0,0.4,0.005,PV
3981.0,0.4,0.004,PV
4022.0,0.4,0.004,PV
3993.0,0.4,0.004,PV
3992.0,0.4,0.004,PV
3701.0,0.4,0.004,PV
3704.0,0.4,0.005,PV
3694.0,0.4,0.005,PV
3695.0,0.4,0.005,PV
3711.0,0.4,0.005,PV
3696.0,0.4,0.005,PV
3703.0,0.4,0.005,PV
3710.0,0.4,0.005,PV
3691.0,0.4,0.005,PV
3693.0,0.4,0.005,PV
3692.0,0.4,0.004,PV
3720.0,0.4,0.018000000000000002,PV
3733.0,0.4,0.005,PV
3725.0,0.4,0.005,PV
3719.0,0.4,0.01,PV
3730.0,0.4,0.01,PV
3718.0,0.4,0.005,PV
3723.0,0.4,0.01,PV
3732.0,0.4,0.01,PV
3744.0,0.4,0.01,PV
3737.0,0.4,0.004,PV
3738.0,0.4,0.004,PV
3736.0,0.4,0.004,PV
3741.0,0.4,0.004,PV
3751.0,0.4,0.004,PV
3735.0,0.4,0.004,PV
3753.0,0.4,0.004,PV
3754.0,0.4,0.01,PV
3755.0,0.4,0.004,PV
3756.0,0.4,0.01,PV
3739.0,0.4,0.004,PV
3750.0,0.4,0.005,PV
3746.0,0.4,0.004,PV
3749.0,0.4,0.01,PV
3743.0,0.4,0.005,PV
3745.0,0.4,0.01,PV
3752.0,0.4,0.01,PV
4057.0,0.4,0.01,PV
4030.0,0.4,0.02,PV
4036.0,0.4,0.004,PV
4041.0,0.4,0.004,PV
4054.0,0.4,0.02,PV
4040.0,0.4,0.004,PV
4028.0,0.4,0.004,PV
4037.0,0.4,0.004,PV
4042.0,0.4,0.004,PV
4052.0,0.4,0.004,PV
4031.0,0.4,0.004,PV
4038.0,0.4,0.005,PV
4034.0,0.4,0.004,PV
4043.0,0.4,0.004,PV
4027.0,0.4,0.005,PV
4044.0,0.4,0.005,PV
4033.0,0.4,0.005,PV
4051.0,0.4,0.005,PV
4039.0,0.4,0.005,PV
4047.0,0.4,0.005,PV
4048.0,0.4,0.005,PV
4064.0,0.4,0.005,PV
4070.0,0.4,0.005,PV
3598.0,0.4,0.005,PV
3599.0,0.4,0.006999999999999999,PV
3618.0,0.4,0.005,PV
3622.0,0.4,0.005,PV
3621.0,0.4,0.005,PV
3641.0,0.4,0.004,PV
3638.0,0.4,0.004,PV
3628.0,0.4,0.004,PV
3642.0,0.4,0.01,PV
3633.0,0.4,0.005,PV
3646.0,0.4,0.005,PV
3639.0,0.4,0.01,PV
3643.0,0.4,0.01,PV
3636.0,0.4,0.01,PV
3637.0,0.4,0.01,PV
3626.0,0.4,0.005,PV
3631.0,0.4,0.005,PV
3635.0,0.4,0.005,PV
3774.0,0.4,0.004,PV
3775.0,0.4,0.004,PV
3778.0,0.4,0.005,PV
3760.0,0.4,0.004,PV
3761.0,0.4,0.004,PV
3764.0,0.4,0.01,PV
3762.0,0.4,0.004,PV
3768.0,0.4,0.004,PV
3771.0,0.4,0.004,PV
3772.0,0.4,0.004,PV
3788.0,0.4,0.004,PV
3791.0,0.4,0.01,PV
3787.0,0.4,0.02,PV
3789.0,0.4,0.005,PV
3792.0,0.4,0.01,PV
3795.0,0.4,0.01,PV
3796.0,0.4,0.005,PV
3657.0,0.4,0.01,PV
3651.0,0.4,0.01,PV
3663.0,0.4,0.01,PV
3665.0,0.4,0.004,PV
3666.0,0.4,0.018000000000000002,PV
3679.0,0.4,0.018000000000000002,PV
3678.0,0.4,0.018000000000000002,PV
3676.0,0.4,0.004,PV
3670.0,0.4,0.005,PV
3677.0,0.4,0.005,PV
3675.0,0.4,0.005,PV
4075.0,10.0,3.6,WPP1
4076.0,10.0,4.0017,WPP1
4077.0,10.0,1.5621,WPP2
