Node,NVolt_kV,mw,mvar,bus_type,slp
766,0.4,0.008867568,0.002177569,1,H0-B
767,0.4,0.011521429,0.002829266,1,H0-C
751,0.4,0.011521429,0.002829266,1,H0-C
750,0.4,0.011521429,0.002829266,1,H0-C
753,0.4,0.017657143,0.004335985,2,BL-H
758,0.4,0.018206452,0.004470877,1,G3-M
761,0.4,0.011521429,0.002829266,1,H0-C
749,0.4,0.011521429,0.002829266,1,H0-C
748,0.4,0.011521429,0.002829266,1,H0-C
759,0.4,0.008867568,0.002177569,1,H0-B
760,0.4,0.008867568,0.002177569,1,H0-B
752,0.4,0.018206452,0.004470877,1,G3-M
746,0.4,0.008867568,0.002177569,1,H0-B
754,0.4,0.008867568,0.002177569,1,H0-B
747,0.4,0.008867568,0.002177569,1,H0-B
755,0.4,0.008867568,0.002177569,1,H0-B
756,0.4,0.008867568,0.002177569,1,H0-B
762,0.4,0.008867568,0.002177569,1,H0-B
763,0.4,0.005766667,0.001416094,1,H0-A
764,0.4,0.018206452,0.004470877,1,G3-M
757,0.4,0.018206452,0.004470877,1,G3-M
765,0.4,0.005766667,0.001416094,1,H0-A
781,0.4,0.005766667,0.001416094,1,H0-A
778,0.4,0.018206452,0.004470877,1,G3-M
773,0.4,0.005766667,0.001416094,1,H0-A
784,0.4,0.005766667,0.001416094,1,H0-A
786,0.4,0.005766667,0.001416094,1,H0-A
787,0.4,0.005766667,0.001416094,1,H0-A
782,0.4,0.018206452,0.004470877,2,G3-M
777,0.4,0.005766667,0.001416094,1,H0-A
772,0.4,0.018206452,0.004470877,2,G3-M
783,0.4,0.01385625,0.003402617,1,L1-A
788,0.4,0.0184,0.004518406,2,G3-A
789,0.4,0.0184,0.004518406,2,G3-A
785,0.4,0.0184,0.004518406,2,G3-A
776,0.4,0.015195652,0.003731528,1,L0-A
774,0.4,0.015195652,0.003731528,1,L0-A
775,0.4,0.015195652,0.003731528,1,L0-A
771,0.4,0.015195652,0.003731528,1,L0-A
768,0.4,0.015195652,0.003731528,2,L0-A
780,0.4,0.017375,0.004266701,2,G4-A
769,0.4,0.015195652,0.003731528,2,L0-A
779,0.4,0.0186,0.004567519,2,G5-A
770,0.4,0.013269444,0.003258518,1,L2-A
692,0.4,0.013269444,0.003258518,1,L2-A
