Node,NVolt_kV,mw,mvar,bus_type,slp
970,0.4,0.02374359,0.005830607,2,H0-A
971,0.4,0.02374359,0.005830607,1,H0-A
972,0.4,0.02374359,0.005830607,1,H0-A
973,0.4,0.056827273,0.013954819,2,L0-A
969,0.4,0.056827273,0.013954819,2,L0-A
986,0.4,0.02374359,0.005830607,1,H0-A
987,0.4,0.02374359,0.005830607,1,H0-A
989,0.4,0.054416667,0.013362857,1,L2-A
991,0.4,0.02374359,0.005830607,1,H0-A
988,0.4,0.04724,0.011600515,2,L1-A
990,0.4,0.04724,0.011600515,2,L1-A
992,0.4,0.05485,0.013469269,2,H0-G
993,0.4,0.03355,0.008238723,2,H0-B
994,0.4,0.03355,0.008238723,2,H0-B
995,0.4,0.037,0.009085924,1,H0-C
996,0.4,0.03355,0.008238723,1,H0-B
1009,0.4,0.056827273,0.013954819,1,L0-A
1018,0.4,0.05955,0.014623427,2,G4-A
1002,0.4,0.02374359,0.005830607,1,H0-A
1012,0.4,0.037,0.009085924,2,H0-C
1008,0.4,0.057791667,0.014191641,1,G3-M
1013,0.4,0.02374359,0.005830607,2,H0-A
1005,0.4,0.02374359,0.005830607,2,H0-A
1006,0.4,0.057791667,0.014191641,1,G3-M
1000,0.4,0.057791667,0.014191641,1,G3-M
1001,0.4,0.053366667,0.013105013,2,BL-H
1003,0.4,0.02374359,0.005830607,2,H0-A
997,0.4,0.02374359,0.005830607,2,H0-A
999,0.4,0.02374359,0.005830607,2,H0-A
1010,0.4,0.05955,0.014623427,2,G4-A
1014,0.4,0.02374359,0.005830607,2,H0-A
1015,0.4,0.02374359,0.005830607,2,H0-A
1016,0.4,0.05935,0.014574313,2,G3-H
1011,0.4,0.037,0.009085924,1,H0-C
1017,0.4,0.037,0.009085924,1,H0-C
1007,0.4,0.037,0.009085924,1,H0-C
998,0.4,0.056827273,0.013954819,1,L0-A
1004,0.4,0.04724,0.011600515,1,L1-A
974,0.4,0.05955,0.014623427,2,G4-A
975,0.4,0.058533333,0.014373768,2,G5-A
976,0.4,0.05955,0.014623427,1,G4-A
977,0.4,0.054416667,0.013362857,1,L2-A
978,0.4,0.054416667,0.013362857,1,L2-A
1026,0.4,0.054416667,0.013362857,1,L2-A
1027,0.4,0.05955,0.014623427,1,G4-A
1019,0.4,0.037,0.009085924,2,H0-C
1031,0.4,0.056827273,0.013954819,1,L0-A
1021,0.4,0.04724,0.011600515,1,L1-A
1022,0.4,0.054416667,0.013362857,2,L2-A
1038,0.4,0.05485,0.013469269,2,H0-G
1020,0.4,0.053366667,0.013105013,2,BL-H
1036,0.4,0.02374359,0.005830607,2,H0-A
1034,0.4,0.02374359,0.005830607,2,H0-A
1039,0.4,0.02374359,0.005830607,1,H0-A
1040,0.4,0.02374359,0.005830607,2,H0-A
1030,0.4,0.03355,0.008238723,1,H0-B
1032,0.4,0.02374359,0.005830607,1,H0-A
1037,0.4,0.02374359,0.005830607,1,H0-A
1025,0.4,0.02374359,0.005830607,1,H0-A
1029,0.4,0.02374359,0.005830607,1,H0-A
1035,0.4,0.03355,0.008238723,2,H0-B
1028,0.4,0.02374359,0.005830607,1,H0-A
1033,0.4,0.02374359,0.005830607,2,H0-A
1023,0.4,0.02374359,0.005830607,2,H0-A
1024,0.4,0.054416667,0.013362857,1,L2-A
1057,0.4,0.054416667,0.013362857,2,L2-A
1053,0.4,0.02374359,0.005830607,1,H0-A
1060,0.4,0.02374359,0.005830607,1,H0-A
1043,0.4,0.04724,0.011600515,1,L1-A
1042,0.4,0.02374359,0.005830607,2,H0-A
1047,0.4,0.05955,0.014623427,2,G4-A
1058,0.4,0.03355,0.008238723,1,H0-B
1049,0.4,0.04724,0.011600515,2,L1-A
1055,0.4,0.02374359,0.005830607,1,H0-A
1061,0.4,0.037,0.009085924,1,H0-C
1056,0.4,0.03355,0.008238723,2,H0-B
1046,0.4,0.05935,0.014574313,1,G3-H
1050,0.4,0.037,0.009085924,1,H0-C
1048,0.4,0.03355,0.008238723,1,H0-B
1054,0.4,0.05935,0.014574313,2,G3-H
1059,0.4,0.037,0.009085924,2,H0-C
1044,0.4,0.058533333,0.014373768,2,G5-A
1062,0.4,0.05935,0.014574313,1,G3-H
1045,0.4,0.058533333,0.014373768,2,G5-A
1052,0.4,0.05955,0.014623427,2,G4-A
1051,0.4,0.02374359,0.005830607,2,H0-A
1041,0.4,0.02374359,0.005830607,2,H0-A
1077,0.4,0.057791667,0.014191641,2,G3-M
1067,0.4,0.02374359,0.005830607,2,H0-A
1083,0.4,0.057791667,0.014191641,2,G3-M
1066,0.4,0.057791667,0.014191641,1,G3-M
1084,0.4,0.057791667,0.014191641,2,G3-M
1064,0.4,0.05935,0.014574313,2,G3-H
1070,0.4,0.057791667,0.014191641,2,G3-M
1071,0.4,0.057791667,0.014191641,2,G3-M
1068,0.4,0.057791667,0.014191641,2,G3-M
1073,0.4,0.05935,0.014574313,2,G3-H
1074,0.4,0.05935,0.014574313,2,G3-H
1072,0.4,0.02374359,0.005830607,2,H0-A
1063,0.4,0.057791667,0.014191641,1,G3-M
1065,0.4,0.05935,0.014574313,2,G3-H
1078,0.4,0.057791667,0.014191641,1,G3-M
1075,0.4,0.03355,0.008238723,1,H0-B
1079,0.4,0.02374359,0.005830607,2,H0-A
1076,0.4,0.037,0.009085924,2,H0-C
1069,0.4,0.03355,0.008238723,1,H0-B
1081,0.4,0.037,0.009085924,2,H0-C
1080,0.4,0.03355,0.008238723,1,H0-B
1082,0.4,0.037,0.009085924,1,H0-C
1092,0.4,0.03355,0.008238723,2,H0-B
1097,0.4,0.037,0.009085924,1,H0-C
1100,0.4,0.037,0.009085924,1,H0-C
1094,0.4,0.053366667,0.013105013,2,BL-H
1104,10,0,0,2,0
1091,0.4,0.04724,0.011600515,1,L1-A
1093,0.4,0.04724,0.011600515,1,L1-A
1096,0.4,0.02374359,0.005830607,1,H0-A
1090,0.4,0.04724,0.011600515,1,L1-A
1095,0.4,0.05955,0.014623427,2,G4-A
1098,0.4,0.04724,0.011600515,1,L1-A
1086,0.4,0.054416667,0.013362857,2,L2-A
1099,0.4,0.054416667,0.013362857,2,L2-A
1102,0.4,0.054416667,0.013362857,2,L2-A
1103,10,0,0,1,residual
1101,0.4,0.02374359,0.005830607,1,H0-A
1105,10,0,0,2,0
1085,0.4,0.054416667,0.013362857,1,L2-A
1089,0.4,0.056827273,0.013954819,2,L0-A
1087,0.4,0.02374359,0.005830607,1,H0-A
1088,0.4,0.056827273,0.013954819,2,L0-A
979,0.4,0.056827273,0.013954819,2,L0-A
980,0.4,0.056827273,0.013954819,1,L0-A
981,0.4,0.02374359,0.005830607,1,H0-A
982,0.4,0.02374359,0.005830607,1,H0-A
983,0.4,0.056827273,0.013954819,1,L0-A
984,0.4,0.054416667,0.013362857,2,L2-A
985,0.4,0.056827273,0.013954819,2,L0-A
