Node,NVolt_kV,mw,gen_type
1472.0,0.4,0.015,PV
1458.0,0.4,0.003,PV
1455.0,0.4,0.003,PV
1466.0,0.4,0.003,PV
1386.0,0.4,0.003,PV
1387.0,0.4,0.003,PV
1416.0,0.4,0.006,PV
1420.0,0.4,0.006,PV
1414.0,0.4,0.006,PV
1417.0,0.4,0.006,PV
1418.0,0.4,0.006,PV
1425.0,0.4,0.006,PV
1424.0,0.4,0.006,PV
1428.0,0.4,0.006,PV
1487.0,0.4,0.006,PV
1488.0,0.4,0.003,PV
1484.0,0.4,0.01,PV
1492.0,0.4,0.003,PV
1482.0,0.4,0.024,PV
1495.0,0.4,0.003,PV
1490.0,0.4,0.003,PV
1497.0,0.4,0.003,PV
1494.0,0.4,0.003,PV
1479.0,0.4,0.003,PV
1491.0,0.4,0.003,PV
1502.0,0.4,0.003,PV
1513.0,0.4,0.015,PV
1512.0,0.4,0.003,PV
1516.0,0.4,0.015,PV
1499.0,0.4,0.003,PV
1507.0,0.4,0.01,PV
1519.0,0.4,0.015,PV
1500.0,0.4,0.003,PV
1514.0,0.4,0.01,PV
1511.0,0.4,0.003,PV
1591.0,0.4,0.006,PV
1603.0,0.4,0.006,PV
1604.0,0.4,0.006,PV
1605.0,0.4,0.024,PV
1601.0,0.4,0.006,PV
1608.0,0.4,0.006,PV
1612.0,0.4,0.006,PV
1615.0,0.4,0.024,PV
1588.0,0.4,0.006,PV
1607.0,0.4,0.006,PV
1595.0,0.4,0.006,PV
1613.0,0.4,0.006,PV
1620.0,0.4,0.01,PV
1621.0,0.4,0.01,PV
1586.0,0.4,0.006,PV
1624.0,0.4,0.01,PV
1594.0,0.4,0.01,PV
1626.0,0.4,0.01,PV
1628.0,0.4,0.01,PV
1609.0,0.4,0.006999999999999999,PV
1634.0,0.4,0.006999999999999999,PV
1666.0,0.4,0.006,PV
1636.0,0.4,0.003,PV
1639.0,0.4,0.003,PV
1655.0,0.4,0.003,PV
1658.0,0.4,0.003,PV
1664.0,0.4,0.003,PV
1660.0,0.4,0.003,PV
1631.0,0.4,0.003,PV
1649.0,0.4,0.003,PV
1638.0,0.4,0.003,PV
1632.0,0.4,0.003,PV
1659.0,0.4,0.003,PV
1662.0,0.4,0.003,PV
1654.0,0.4,0.003,PV
1646.0,0.4,0.003,PV
1667.0,0.4,0.003,PV
1661.0,0.4,0.003,PV
1673.0,0.4,0.003,PV
1671.0,0.4,0.003,PV
1640.0,0.4,0.003,PV
1672.0,0.4,0.003,PV
1641.0,0.4,0.003,PV
1699.0,0.4,0.003,PV
1703.0,0.4,0.003,PV
1693.0,0.4,0.003,PV
1708.0,0.4,0.003,PV
1711.0,0.4,0.003,PV
1676.0,0.4,0.003,PV
1684.0,0.4,0.003,PV
1694.0,0.4,0.003,PV
1679.0,0.4,0.003,PV
1691.0,0.4,0.006,PV
1689.0,0.4,0.006,PV
1695.0,0.4,0.006,PV
1714.0,0.4,0.003,PV
1686.0,0.4,0.003,PV
1681.0,0.4,0.003,PV
1678.0,0.4,0.003,PV
1688.0,0.4,0.003,PV
1700.0,0.4,0.003,PV
1692.0,0.4,0.003,PV
1697.0,0.4,0.006,PV
1709.0,0.4,0.006,PV
1677.0,0.4,0.003,PV
1710.0,0.4,0.006,PV
1696.0,0.4,0.003,PV
1707.0,0.4,0.006,PV
1716.0,0.4,0.003,PV
1757.0,0.4,0.01,PV
1750.0,0.4,0.006,PV
1733.0,0.4,0.003,PV
1760.0,0.4,0.003,PV
1730.0,0.4,0.003,PV
1741.0,0.4,0.01,PV
1726.0,0.4,0.006,PV
1754.0,0.4,0.01,PV
1740.0,0.4,0.003,PV
1724.0,0.4,0.01,PV
1759.0,0.4,0.003,PV
1732.0,0.4,0.003,PV
1729.0,0.4,0.003,PV
1749.0,0.4,0.003,PV
1728.0,0.4,0.006,PV
1737.0,0.4,0.003,PV
1397.0,0.4,0.006,PV
1398.0,0.4,0.015,PV
1402.0,0.4,0.006,PV
1405.0,0.4,0.003,PV
1403.0,0.4,0.006,PV
1774.0,0.4,0.006,PV
1773.0,0.4,0.003,PV
1775.0,0.4,0.003,PV
1770.0,0.4,0.003,PV
1772.0,0.4,0.003,PV
1769.0,0.4,0.015,PV
1766.0,0.4,0.003,PV
1382.0,0.4,0.003,PV
1551.0,0.4,0.003,PV
1545.0,0.4,0.003,PV
1548.0,0.4,0.015,PV
1559.0,0.4,0.024,PV
1557.0,0.4,0.003,PV
1542.0,0.4,0.003,PV
1555.0,0.4,0.003,PV
1547.0,0.4,0.024,PV
1552.0,0.4,0.003,PV
1560.0,0.4,0.01,PV
1543.0,0.4,0.003,PV
1565.0,0.4,0.015,PV
1576.0,0.4,0.003,PV
1580.0,0.4,0.006,PV
1569.0,0.4,0.006,PV
1571.0,0.4,0.006,PV
1383.0,0.4,0.006,PV
1435.0,0.4,0.006,PV
1437.0,0.4,0.006,PV
1440.0,0.4,0.006,PV
1449.0,0.4,0.006,PV
1438.0,0.4,0.006,PV
1451.0,0.4,0.006,PV
1444.0,0.4,0.003,PV
1450.0,0.4,0.003,PV
1436.0,0.4,0.01,PV
1439.0,0.4,0.003,PV
1445.0,0.4,0.003,PV
1526.0,0.4,0.003,PV
1528.0,0.4,0.003,PV
1529.0,0.4,0.003,PV
1527.0,0.4,0.01,PV
1531.0,0.4,0.003,PV
1780.0,10.0,0.4634999999999999,PV
1781.0,10.0,2.3381,WPP2
1782.0,10.0,3.6,WPP3
1783.0,10.0,5.3284,WPP3
