hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
356,373,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
358,375,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
359,376,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
360,377,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
361,378,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
362,379,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
368,385,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
369,386,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
370,387,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
357,374,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
363,380,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
364,381,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
365,382,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
366,383,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
367,384,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
371,388,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
372,389,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
