hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
264,288,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
271,295,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
272,296,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
273,297,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
274,298,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
266,290,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
284,308,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
278,302,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
282,306,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
285,309,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
286,310,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
281,305,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
287,311,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
280,304,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
283,307,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
279,303,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
275,299,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
276,300,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
277,301,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
265,289,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
269,293,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
270,294,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
267,291,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
268,292,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
