hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
115,136,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
116,137,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
114,135,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
117,138,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
118,139,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
125,146,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
126,147,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
127,148,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
121,142,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
122,143,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
123,144,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
124,145,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
129,150,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
133,154,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
132,153,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
130,151,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
134,155,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
131,152,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
128,149,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
119,140,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
120,141,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
