BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_kV,ZONE,VMAX,VMIN
512.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
513.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
514.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
515.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
516.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
517.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
518.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
519.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
520.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
521.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
522.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
523.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
524.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
525.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
526.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
527.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
528.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
529.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
530.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
531.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
532.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,45.0,1.1,0.9
533.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
534.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
535.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
536.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
537.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
538.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
539.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
540.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
541.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
542.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,45.0,1.1,0.9
