hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
571,592,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
570,591,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
569,590,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
572,593,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
573,594,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
574,595,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
558,579,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
559,580,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
560,581,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
554,575,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
555,576,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
561,582,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
562,583,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
563,584,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
564,585,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
565,586,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
566,587,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
567,588,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
568,589,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
556,577,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
557,578,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
