hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
49,67,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
64,82,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
65,83,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
58,76,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
59,77,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
60,78,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
61,79,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
62,80,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
63,81,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
50,68,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
51,69,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
52,70,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
53,71,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
54,72,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
55,73,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
56,74,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
57,75,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
48,66,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
