F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
554.0,557.0,0.09597,0.05027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
554.0,575.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
555.0,7053.0,0.07172,0.03757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
555.0,576.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
556.0,559.0,0.053079999999999995,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
556.0,577.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
557.0,578.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
557.0,7053.0,0.0477,0.024990000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
558.0,579.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
558.0,560.0,0.06392,0.03348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
559.0,580.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
559.0,7055.0,0.07177,0.0376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
560.0,581.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
560.0,46.0,0.62595,0.58124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
561.0,7059.0,0.00504,0.00264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
561.0,582.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
562.0,7055.0,0.06691,0.03505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
562.0,583.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
563.0,584.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
563.0,562.0,0.06877,0.036019999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
564.0,585.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
564.0,7057.0,0.06547,0.0343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
565.0,7052.0,0.02531,0.01326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
565.0,586.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
566.0,564.0,0.07324,0.038360000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
566.0,587.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
567.0,588.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
567.0,7058.0,0.08308,0.043519999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
568.0,569.0,0.03143,0.01646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
568.0,589.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
569.0,46.0,0.62595,0.58124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
569.0,590.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
570.0,591.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
570.0,564.0,0.06513,0.03412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
571.0,592.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
571.0,7058.0,0.0842,0.0441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
572.0,7057.0,0.0465,0.02436,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
572.0,593.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
573.0,7050.0,0.09031,0.047310000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
573.0,594.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
574.0,7054.0,0.03587,0.01879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
574.0,595.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
6556.0,590.0,8.456249999999999,1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6557.0,582.0,10.643749999999999,5.318749999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6558.0,6588.0,16.674999999999997,2.5624999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6559.0,6726.0,16.412499999999998,2.5249999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6560.0,6961.0,12.187499999999998,1.8749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
