hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
525,546,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
526,547,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
516,537,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
517,538,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
522,543,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
523,544,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
524,545,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
518,539,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
519,540,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
520,541,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
521,542,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
513,534,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
514,535,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
515,536,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
528,549,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
529,550,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
527,548,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
531,552,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
530,551,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
532,553,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
512,533,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
