F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
480.0,44.0,0.9692799999999999,0.90004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
480.0,496.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
481.0,482.0,0.055220000000000005,0.02893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
481.0,497.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
482.0,6095.0,0.019280000000000002,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
482.0,498.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
483.0,6101.0,0.0355,0.01859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
483.0,499.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
484.0,487.0,0.01956,0.01025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
484.0,500.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
485.0,487.0,0.08646000000000001,0.04529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
485.0,501.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
486.0,6096.0,0.021519999999999997,0.01127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
486.0,502.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
487.0,503.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
487.0,491.0,0.07786,0.040780000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
488.0,6103.0,0.053360000000000005,0.02795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
488.0,504.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
489.0,505.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
489.0,491.0,0.040619999999999996,0.02128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
490.0,506.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
490.0,480.0,0.34718000000000004,0.32238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
491.0,6098.0,0.03834,0.02009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
491.0,507.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
492.0,508.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
492.0,493.0,0.06517,0.03414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
493.0,6098.0,0.06737,0.035289999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
493.0,509.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
494.0,510.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
494.0,6102.0,0.06612,0.03463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
495.0,6102.0,0.04548,0.023819999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
495.0,511.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
5639.0,496.0,34.96874999999999,5.381249999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5640.0,5953.0,13.087499999999999,2.0124999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5641.0,5919.0,6.337499999999999,1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
