BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_kV,ZONE,VMAX,VMIN
156.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
157.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
158.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
159.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
160.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
161.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
162.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
163.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
164.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
165.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
166.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
167.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
168.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
169.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
170.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
171.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
172.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
173.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
174.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
175.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
176.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,30.0,1.1,0.9
177.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
178.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
179.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
180.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
181.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
182.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
183.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
184.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
185.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
186.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
187.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
188.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
189.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
190.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
191.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
192.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
193.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
194.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
195.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,30.0,1.1,0.9
