BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_kV,ZONE,VMAX,VMIN
312.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
313.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
314.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
315.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
316.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
317.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
318.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
319.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
320.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
321.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
322.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
323.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
324.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
325.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
326.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
327.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
328.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
329.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
330.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
331.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,38.0,1.1,0.9
