BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_kV,ZONE,VMAX,VMIN
480.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
481.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
482.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
483.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
484.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
485.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
486.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
487.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
488.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
489.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
490.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
491.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
492.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
493.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
494.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
495.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,44.0,1.1,0.9
496.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
497.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
498.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
499.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
500.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
501.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
502.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
503.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
504.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
505.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
506.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
507.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,44.0,1.1,0.9
