hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
246,261,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
244,259,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
243,258,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
245,260,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
234,249,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
237,252,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
235,250,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
239,254,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
240,255,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
241,256,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
242,257,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
232,247,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
236,251,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
238,253,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
233,248,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
