hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
319,341,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
320,342,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
321,343,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
322,344,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
323,345,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
324,346,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
325,347,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
327,349,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
328,350,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
332,354,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
331,353,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
329,351,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
330,352,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
333,355,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
326,348,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
312,334,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
313,335,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
314,336,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
315,337,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
316,338,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
317,339,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
318,340,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
