GEN_BUS,PG,QG,QMIN,QMAX,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMS_10,RAMP_30,RAMP_Q,APF
3597.0,0.004,0.0,0.0,0.0,1.0,0.004,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3598.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3599.0,0.006999999999999999,0.0,0.0,0.0,1.0,0.005,1.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3618.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3621.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3622.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3626.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3628.0,0.004,0.0,0.0,0.0,1.0,0.005,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3631.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3633.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3635.0,0.005,0.0,0.0,0.0,1.0,0.005,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3636.0,0.01,0.0,0.0,0.0,1.0,0.006999999999999999,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3637.0,0.01,0.0,0.0,0.0,1.0,0.005,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3638.0,0.004,0.0,0.0,0.0,1.0,0.005,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3639.0,0.01,0.0,0.0,0.0,1.0,0.005,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3641.0,0.004,0.0,0.0,0.0,1.0,0.005,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3642.0,0.01,0.0,0.0,0.0,1.0,0.005,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3643.0,0.01,0.0,0.0,0.0,1.0,0.01,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3646.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3651.0,0.01,0.0,0.0,0.0,1.0,0.01,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3657.0,0.01,0.0,0.0,0.0,1.0,0.004,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3663.0,0.01,0.0,0.0,0.0,1.0,0.01,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3665.0,0.004,0.0,0.0,0.0,1.0,0.004,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3666.0,0.018000000000000002,0.0,0.0,0.0,1.0,0.004,1.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3670.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3675.0,0.005,0.0,0.0,0.0,1.0,0.01,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3676.0,0.004,0.0,0.0,0.0,1.0,0.004,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3677.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3678.0,0.018000000000000002,0.0,0.0,0.0,1.0,0.01,1.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3679.0,0.018000000000000002,0.0,0.0,0.0,1.0,0.004,1.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3691.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3692.0,0.004,0.0,0.0,0.0,1.0,0.004,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3693.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3694.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3695.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3696.0,0.005,0.0,0.0,0.0,1.0,0.01,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3701.0,0.004,0.0,0.0,0.0,1.0,0.004,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3703.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3704.0,0.005,0.0,0.0,0.0,1.0,0.018000000000000002,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3710.0,0.005,0.0,0.0,0.0,1.0,0.01,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3711.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3718.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3719.0,0.01,0.0,0.0,0.0,1.0,0.01,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3720.0,0.018000000000000002,0.0,0.0,0.0,1.0,0.004,1.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3723.0,0.01,0.0,0.0,0.0,1.0,0.004,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3725.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730.0,0.01,0.0,0.0,0.0,1.0,0.01,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732.0,0.01,0.0,0.0,0.0,1.0,0.02,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3733.0,0.005,0.0,0.0,0.0,1.0,0.004,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735.0,0.004,0.0,0.0,0.0,1.0,0.004,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3736.0,0.004,0.0,0.0,0.0,1.0,0.01,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3737.0,0.004,0.0,0.0,0.0,1.0,0.004,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3738.0,0.004,0.0,0.0,0.0,1.0,0.01,1.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
