hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
434,458,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
432,456,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
437,461,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
438,462,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
433,457,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
436,460,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
435,459,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
439,463,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
440,464,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
450,474,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
448,472,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
449,473,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
446,470,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
451,475,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
447,471,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
443,467,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
444,468,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
445,469,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
455,479,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
453,477,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
454,478,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
452,476,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
441,465,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
442,466,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
