hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
163,184,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
164,185,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
165,186,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
156,177,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
160,181,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
161,182,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
162,183,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
172,193,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
175,196,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
174,195,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
173,194,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
176,197,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
171,192,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
157,178,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
166,187,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
167,188,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
168,189,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
169,190,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
170,191,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
158,179,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
159,180,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
