F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
312.0,334.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
312.0,313.0,0.045360000000000004,0.02376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
313.0,335.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
313.0,4081.0,0.0049700000000000005,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
314.0,336.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
314.0,4081.0,0.07631,0.03997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
315.0,337.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
315.0,38.0,0.9353299999999999,0.8685200000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
316.0,338.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
316.0,318.0,0.0504,0.0264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
317.0,322.0,0.04172,0.02185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
317.0,339.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
318.0,340.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
318.0,324.0,0.08333,0.04365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
319.0,4082.0,0.0069700000000000005,0.00365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
319.0,341.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
320.0,342.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
320.0,4076.0,0.0148,0.00775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
321.0,343.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
321.0,320.0,0.07639,0.040010000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
322.0,344.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
322.0,324.0,0.08459,0.04431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
323.0,345.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
323.0,321.0,0.06354,0.033280000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
324.0,4083.0,0.04997,0.02617,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
324.0,346.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
325.0,4078.0,0.04079,0.02137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
325.0,347.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
326.0,4078.0,0.04185,0.02192,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
326.0,348.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
327.0,349.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
327.0,4075.0,0.04015,0.02103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
328.0,324.0,0.11057,0.057920000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
328.0,350.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
329.0,4080.0,0.03035,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
329.0,351.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
330.0,4077.0,0.02429,0.01272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
330.0,352.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
331.0,328.0,0.06465,0.03386,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
331.0,353.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
332.0,4077.0,0.00886,0.00464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
332.0,354.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
333.0,330.0,0.06089,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
333.0,355.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
3597.0,3758.0,7.599999999999998,1.5562499999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
3598.0,339.0,5.112499999999999,1.0499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
3599.0,4033.0,13.487499999999999,2.0749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
3600.0,3891.0,22.049999999999994,3.3937499999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
