hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
198,215,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
202,219,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
203,220,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
204,221,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
199,216,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
205,222,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
206,223,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
207,224,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
214,231,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
213,230,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
200,217,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
201,218,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
212,229,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
208,225,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
209,226,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
210,227,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
211,228,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
