BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_kV,ZONE,VMAX,VMIN
48.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
49.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
51.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
52.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
53.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
54.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
55.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
56.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
57.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
58.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
59.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
60.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
61.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
62.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
63.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
64.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
65.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,26.0,1.1,0.9
66.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
68.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
69.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
70.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
71.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
72.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
73.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
74.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
75.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
76.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
77.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
78.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
79.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
80.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
81.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
82.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
83.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
630.0,2.0,0.017657142857142857,0.004335985423555729,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
631.0,1.0,0.008867567567567567,0.00217756881883155,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
632.0,2.0,0.01519565217391304,0.0037315281900693296,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
633.0,2.0,0.01519565217391304,0.0037315281900693296,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
634.0,1.0,0.018206451612903227,0.0044708767124397066,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
635.0,1.0,0.008867567567567567,0.00217756881883155,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
636.0,1.0,0.011521428571428571,0.00282926556965833,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
637.0,1.0,0.013269444444444443,0.0032585179921404183,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
638.0,1.0,0.008867567567567567,0.00217756881883155,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
639.0,1.0,0.01385625,0.0034026172020712665,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
640.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
641.0,1.0,0.013269444444444443,0.0032585179921404183,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
642.0,1.0,0.011521428571428571,0.00282926556965833,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
643.0,1.0,0.011521428571428571,0.00282926556965833,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
644.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
645.0,1.0,0.013269444444444443,0.0032585179921404183,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
646.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
647.0,1.0,0.018206451612903227,0.0044708767124397066,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
648.0,1.0,0.01519565217391304,0.0037315281900693296,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
649.0,1.0,0.018206451612903227,0.0044708767124397066,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
650.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
651.0,2.0,0.01798125,0.004415574961821846,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
652.0,2.0,0.0186,0.0045675186257844325,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
653.0,2.0,0.017657142857142857,0.004335985423555729,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
654.0,2.0,0.01798125,0.004415574961821846,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
655.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
656.0,1.0,0.008867567567567567,0.00217756881883155,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
657.0,1.0,0.011521428571428571,0.00282926556965833,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
658.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
659.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
660.0,1.0,0.018206451612903227,0.0044708767124397066,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
661.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
662.0,2.0,0.017375,0.0042667008668282,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
663.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
664.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
665.0,1.0,0.018206451612903227,0.0044708767124397066,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
666.0,1.0,0.005766666666666666,0.0014160944843381845,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
667.0,1.0,0.008867567567567567,0.00217756881883155,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
668.0,2.0,0.0184,0.004518405522281375,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
669.0,2.0,0.0186,0.0045675186257844325,0.0,0.0,0.0,1.0,0.0,0.4,26.0,1.1,0.9
