BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_kV,ZONE,VMAX,VMIN
198.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
199.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
200.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
201.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
202.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
203.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
204.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
205.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
206.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
207.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
208.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
209.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
210.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
211.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
212.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
213.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
214.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,31.0,1.1,0.9
215.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,31.0,1.1,0.9
216.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,31.0,1.1,0.9
217.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,31.0,1.1,0.9
