hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
390,411,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
391,412,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
410,431,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
409,430,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
407,428,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
408,429,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
406,427,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
405,426,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
398,419,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
399,420,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
400,421,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
392,413,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
393,414,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
394,415,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
395,416,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
396,417,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
397,418,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
401,422,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
402,423,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
403,424,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
404,425,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
