F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
48.0,66.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
48.0,962.0,0.04493,0.023530000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
49.0,960.0,0.016309999999999998,0.00854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
49.0,67.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
50.0,967.0,0.01163,0.00609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
50.0,68.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
51.0,69.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
51.0,961.0,0.02139,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
52.0,70.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
52.0,963.0,0.059070000000000004,0.03094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
53.0,71.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
53.0,968.0,0.03408,0.01785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
54.0,961.0,0.031689999999999996,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
54.0,72.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
55.0,73.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
55.0,57.0,0.04125,0.02161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
56.0,968.0,0.09139,0.047869999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
56.0,74.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
57.0,966.0,0.02938,0.015390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
57.0,75.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
58.0,76.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
58.0,56.0,0.06563,0.03438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
59.0,54.0,0.04373,0.0229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
59.0,77.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
60.0,57.0,0.04782,0.02505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
60.0,78.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
61.0,965.0,0.028960000000000003,0.01517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
61.0,79.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
62.0,80.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
62.0,964.0,0.04033,0.02113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
63.0,81.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
63.0,59.0,0.06932999999999999,0.03631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
