hv_bus,lv_bus,r_pu,x_pu,vkv_base,vn_lv_kv,smva_base,pfe_kw,i0_percent,vk_percent,vkr_percent
94,104,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
95,105,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
96,106,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
97,107,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
98,108,2.19,9.26,10,0.4,0.63,0.8,0.126,6.0,0.236
99,109,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
100,110,1.22,5.157,10,0.4,1.0,1.3,0.13,5.3,0.236
101,111,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
102,112,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
103,113,2.39,10.76,10,0.4,0.4,0.475,0.113,4.0,0.23
