9498 unique present genes were clustered into 49 modules. M1-, M2- and TPP-associated modules are highlighted in blue, red and grey, respecitively.																																																	
																																																	
	Modules																																																
Genes	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
1	RAB35	LOC730996	FEM1C	PNPLA6	TOPORS	FOXN2	LAP3	LOC400759	CPNE6	RPRC1	TAGAP	PPARGC1B	MED22	FZD1	DUSP6	CLEC4A	TALDO1	CALCOCO2	LILRA2	GATAD2A	SEPT4	HLX	AKIRIN2	MUC1	DPH3	AMD1	COPS5	CD38	REPIN1	MGC33556	B4GALT5	GCH1	MCL1	PMAIP1	XRN1	FCGR1A	METTL7B	ITGB7	DBNDD2	CD53	RBM34	CCDC106	PLAU	IRF1	CD69	GSTP1	C5ORF39	PSME1	EID2
2	C2ORF29	C3ORF38	SCML1	RBM15	SNUPN	ZNF259	NCOA7	CXCL9	KIAA0564	GPI	KIAA1598	PRKAA1	ACPP	SLC31A1	ATG7	CBARA1	TMEM158	ASPHD2	SUSD3	NME3	NACC2	ZDHHC16	XKR8	FRMD3	CUL2	PDCD10	SQLE	HINT1	CSF2RA	IRF8	GIMAP6	C21ORF7	SLC25A28	GUK1	PCGF5	LOC728744	CA11	KARS	TSPAN4	DERL1	SGK	MS4A4A	F3	CD274	TSPAN17	CCL23	SAMD4A	PSME2	CABLES2
3	DYNC1LI2	CROP	SBNO2	NCOA5	NKIRAS1	PRMT1	IFIT2	APOBEC3A	WDFY1	ITGB1	IL7R	S100A13	AGA	UROD	GLS	PCOLCE2	NQO1	CDC42EP4	FST	SPINK1	ATF3	MCM7	C4ORF34	REC8	DMAP1	G3BP1	C9ORF91	PDCL3	SOCS2	ASCL2	RAPGEF1	PIK3CB	C3ORF14	C8ORF76	GBP3	FCGR1B	POLB	FOSB	CCND1	VCPIP1	TBXAS1	ERO1L	EDN1	C18ORF8	CTSH	RNF217	ADRB2	PDGFC	RAD9A
4	PRMT2	SMAD5	USP6NL	GTF2H4	AOF2	CHSY1	STAT1	FAM26F	C20ORF123	NMT2	SEPW1	LOC642236	SRBD1	TMX4	MAOA	TBC1D7	UTRN	MINA	PARP3	STK36	P2RX7	TMEM106C	CTRL	FAM65B	SPHK2	IK	FDFT1	RAB20	CMTM6	PPP1R15B	LONP2	IL18BP	POMP	SASH3	CCDC101	NDUFV3	AKAP7	LMNB1	C15ORF24	AVL9	ISOC1	LOC729317	PLEK	CUL1	ATP1B1	SMARCA5	C2	DHRS1	LSM6
5	PGAM4	APIP	ADNP2	RIOK3	MTPN	COQ9	TRIM21	IL27	CLCNKA	SGK3	CENPJ	FRG1	NAT13	TAPT1	HARS2	STK10	BRMS1L	TMEM149	DNTTIP1	TMEM9	AK1	MUM1	BPGM	TICAM2	ICAM2	PRRC1	FASN	YWHAH	UBXN11	RPL39L	GSTK1	SLITRK4	VIL2	USP42	GCC1	AFMID	NRP1	TCF4	C13ORF15	ATP8B4	OLFML2B	CENPB	EAF1	IL15	PTGER4	RAB6A	SQRDL	EGR1	LOC648176
6	GYS1	TIGD7	PITPNM1	CTSO	C14ORF43	PRPF31	SCO2	CXCL10	RASSF2	E2F3	SH2B3	MRPL44	CLIC5	RHBDF2	CCL17	ADAM19	PABPC1	SLC22A18	CTDSPL2	AGPS	IFNGR1	FUT8	SLC38A2	LOC730249	KLF13	FRAT1	UTP23	ECT2	TGFA	PPBP	NECAP1	SLC2A14	SIGLEC10	LOC727848	ZNF816A	TDP1	LCP1	MICB	ANAPC10	CD97	SGPL1	SUSD1	BCL2A1	FAM126B	STX11	CPT1B	NFKBIE	PPPDE2	SNORA10
7	MBD2	LOC653994	RAB18	PLEKHO2	MOGS	HMGA1	CCL8	BATF2	DKK2	SIPA1L2	ZC3HAV1	AKR1B1	C9ORF72	B3GNT2	GOLGA8B	NPC1	SMG7	C1ORF50	LZTR1	CFP	SH3GLB1	AURKB	IGF2BP3	SIK1	LACTB	RAB10	MVD	CAP1	PYGL	CYB5R3	YIPF1	EGLN1	LGALS3	COX6A1	TTC19	C9ORF6	GIMAP4	SGSM2	ACTR1A	ZMYND11	TNFSF12	CHMP5	TRIM69	DBNL	PRPS2	DKFZP761E198	SLC45A4	STEAP3	PDK1
8	RAB11FIP3	NOL12	YIPF5	SLC2A3	C9ORF10OS	HNRNPD	LGALS3BP	SERPING1	EHD4	NGDN	TM9SF1	PTRF	TMEM185A	INVS	SYT17	MED23	KIAA0922	ICAM3	ACADVL	ZSCAN5A	SLC1A4	KNTC1	LRRK2	EIF4E3	ACTR10	CCT6P1	ACAT2	FAM102B	KTELC1	PUS3	COQ10B	SNX2	TRPV2	EDEM3	C2ORF42	SEMA3E	ANKRD24	FUK	SPRY2	STRADA	TBC1D14	DOK2	LOC652616	GPR109B	GIMAP2	ABR	HSZFP36	RRAGD	LOC643932
9	SFRS2IP	OPN3	STAT3	C10ORF76	PSMB2	CCT3	PARP9	RARRES3	HDAC1	TMEM188	COX4I1	EIF4G3	LOC652881	FAH	LYZ	PPFIBP1	ZNF235	HSPA6	C14ORF4	EMP1	TUBA4A	CDC2	SLC25A39	FHOD1	FAM176B	POLR2A	FADS1	C21ORF57	LOC727935	N-PAC	MIS12	CD48	NUCB2	COX8A	DBI	FAM63A	FBXO38	GSK3B	HSPA9	LIG1	MED25	PIK3R2	NEDD9	GPR109A	MRI1	NELF	GIMAP5	C9ORF46	LOC644979
