year,region,product,value,unit
2006,World,methanol,natural_gas,none
2006,World,ethylene,ethane,none
2006,NAM,ethylene,ethane,none
2006,SAM,ethylene,ethane,none
2006,Europe,ethylene,naphtha,none
2006,AUS,ethylene,ethane,none
2006,ASI,ethylene,naphtha,none
2006,AFR,ethylene,naphtha,none
2006,World,ethylene_dichloride,ethylene,none
2006,World,vinyl_chloride_monomer,ethylene,none
2006,World,ethylene_oxide,ethylene,none
2006,World,acrylonitrile,propylene,none
2006,World,carbon_black,cb_natural_gas,none
